date,cases,deaths,recovered
2020-05-24,22271,1372,5402
2020-05-25,22750,1391,5642
2020-05-26,23165,1418,5877
2020-05-27,23851,1473,6057
2020-05-28,24538,1496,6240
2020-05-29,25216,1520,6492
2020-05-30,25773,1573,7015
2020-05-31,26473,1613,7308
2020-06-01,26940,1641,7637
2020-06-02,27549,1663,7935
2020-06-03,28233,1698,8406
2020-06-04,28818,1721,8892
2020-06-05,29521,1770,9443
2020-06-06,30514,1801,9907
2020-06-07,31186,1851,10498
2020-06-08,32033,1883,10904
2020-06-09,33076,1923,11414
2020-06-10,34316,1959,12129
2020-06-11,35295,2000,12636
2020-06-12,36406,2048,13213
2020-06-13,37420,2091,13776
2020-06-14,38277,2134,14531
2020-06-15,39294,2198,15123
2020-06-16,40400,2231,15703
2020-06-17,41431,2276,16243
2020-06-18,42762,2339,16798
2020-06-19,43803,2373,17349
2020-06-20,45029,2429,17883
2020-06-21,45891,2465,18404
2020-06-22,46845,2500,18735
2020-06-23,47896,2535,19241
2020-06-24,49009,2573,19658
2020-06-25,50187,2620,20449
2020-06-26,51427,2683,21333
2020-06-27,52812,2720,21909
2020-06-28,54010,2754,22936
